授業科目名,担当者名,配当学年,開講期,曜時限,群,学科,前身科目
化学プロセス工学基礎［T21，T22］,中川 浩行・山本 量一・河瀬 元明,2回生以上,前期,木1,工学部専門科目,理工化学科,
生命化学基礎,跡見 晴幸・三木 裕明・近藤 輝幸・沼田 圭司・今堀 博・永楽 元次・高橋 重成,2回生以上,前期,火4,工学部専門科目,理工化学科,
有機化学Ｉ（創成化学）,大宮 寛久,2回生以上,後期,月1,工学部専門科目,理工化学科,
物理化学Ｉ（創成化学）,古賀 毅・古谷 勉,2回生以上,後期,水2,工学部専門科目,理工化学科,
無機化学（創成化学）,下間 靖彦,2回生以上,後期,月2,工学部専門科目,理工化学科,
分析化学（創成化学）,小山 宗孝・野中 洋・久保 拓也,2回生以上,後期,金2,工学部専門科目,理工化学科,
高分子化学基礎Ｉ（創成化学）,大内 誠・井田 大地,2回生以上,後期,木2,工学部専門科目,理工化学科,
有機化学II（創成化学）,杉安 和憲,3回生以上,前期,水2,工学部専門科目,理工化学科,
生体関連物質化学（創成化学）,沼田 圭司・大前 仁,3回生以上,前期,火1,工学部専門科目,理工化学科,
物理化学II（創成化学）,古谷 勉・辻井 敬亘・石田 紘一朗,3回生以上,前期,水1,工学部専門科目,理工化学科,
高分子化学基礎II（創成化学）,堀中 順一・大内 誠,3回生以上,前期,火2,工学部専門科目,理工化学科,
統計熱力学入門（創成化学）,井田 大地,3回生以上,前期,月2,工学部専門科目,理工化学科,
機器分析化学（創成化学）,小山 宗孝・野中 洋・大塚 浩二,3回生以上,前期,金1,工学部専門科目,理工化学科,
有機化学III（創成化学）,中尾 佳亮・佐々木 善浩,3回生以上,後期,火2,工学部専門科目,理工化学科,
物理化学III（創成化学）,大北 英生・山本 俊介,3回生以上,後期,火1,工学部専門科目,理工化学科,
最先端機器分析（創成化学）,小山 宗孝・野中 洋・大塚 浩二,3回生以上,後期,金1,工学部専門科目,理工化学科,
化学のフロンティア（創成化学）,中尾 佳亮・小山 宗孝・竹中 幹人・田中 勝久・杉安 和憲・大内 誠・中村 洋・沼田 圭司,4回生以上,前期,"金3,4",工学部専門科目,理工化学科,
化学生物学,永楽 元次・大串 雅俊,3回生以上,後期,木2,工学部専門科目,理工化学科,
高分子化学Ｉ,大内 誠,3回生以上,後期,水1,工学部専門科目,理工化学科,
化学数学（創成化学）,中村 洋・小川 紘樹,2回生以上,後期,火2,工学部専門科目,理工化学科,
錯体化学（創成化学）,藤田 晃司・田中 勝久,3回生以上,後期,月1,工学部専門科目,理工化学科,
高分子化学II,竹中 幹人・浦山 健治・小川 紘樹,3回生以上,後期,金2,工学部専門科目,理工化学科,
創成化学実験Ⅰ（創成化学）,田中 一生・佐々木 善浩・野中 洋・寺島 崇矢・大前 仁・藤田 晃司・井田 大地・古谷 勉・創成化学実験関連教員,3回生以上,前期,"火3,4,5,水3,4,5,木3,4,5",工学部専門科目,理工化学科,
創成化学実験Ⅱ（創成化学）,田中 一生・佐々木 善浩・野中 洋・大前 仁・藤田 晃司・井田 大地・古谷 勉・創成化学実験関連教員,3回生以上,後期,"火3,4,5,水3,4,5,木3,4,5",工学部専門科目,理工化学科,
科学英語（創成化学）［工化1・工化3］,田中 一生・John Pryce,3回生以上,前期,月3,工学部専門科目,理工化学科,
科学英語（創成化学）［工化2・工化4］,田中 一生・John Pryce,3回生以上,前期,月4,工学部専門科目,理工化学科,
グリーンケミストリー概論,生越 友樹・SIVANIAH，Easan・阿部 竜,3回生以上,前期,木1,工学部専門科目,理工化学科,
化学数学II,佐藤 徹・森 俊文,3回生以上,前期,金1,工学部専門科目,理工化学科,
物理化学Ｉ（化学工学）,牧 泰輔,2回生以上,後期,水2,工学部専門科目,理工化学科,
無機化学Ｉ（化学工学）,作花 哲夫・安部 武志・阿部 竜・野平 俊之・松井 敏明,2回生以上,後期,月2,工学部専門科目,理工化学科,
化学工学数学Ｉ（化学工学）,長嶺 信輔・谷口 貴志,2回生以上,後期,木1,工学部専門科目,理工化学科,
流体系分離工学,佐野 紀彰・渡邉 哲,3回生以上,前期,木1,工学部専門科目,理工化学科,
物理化学II（化学工学）,田辺 克明・鈴木 哲夫,3回生以上,前期,金2,工学部専門科目,理工化学科,
化学工学数学II,谷口 貴志・前多 裕介,3回生以上,前期,金1,工学部専門科目,理工化学科,
反応工学II,中川 浩行・河瀬 元明・蘆田 隆一,3回生以上,前期,月2,工学部専門科目,理工化学科,
固相系分離工学,佐野 紀彰,3回生以上,後期,水2,工学部専門科目,理工化学科,
物理化学III（化学工学）,山本 量一・田辺 克明,3回生以上,後期,火3,工学部専門科目,理工化学科,
化学プロセス工学実験Ｉ（化学工学）,Cathy McNamee・殿村 修・MOLINA LOPEZ， John Jairo・平出 翔太郎・藤墳 大裕・鈴木 哲夫・宮本 奏汰・村中 陽介・有馬 誉・別府 航早・丸山 博之・化学工学実験関連教員,3回生以上,前期,"木3,4,5,金3,4,5",工学部専門科目,理工化学科,
化学プロセス工学実験II（化学工学）,Cathy McNamee・殿村 修・MOLINA LOPEZ， John Jairo・平出 翔太郎・藤墳 大裕・鈴木 哲夫・宮本 奏汰・村中 陽介・有馬 誉・別府 航早・丸山 博之・化学工学実験関連教員,3回生以上,後期,"水3,4,5,木3,4,5",工学部専門科目,理工化学科,
化学工学量論,河瀬 元明・牧 泰輔・村中 陽介,2回生以上,後期,水1,工学部専門科目,理工化学科,
科学英語（化学工学）［工化1・工化3］,前多 裕介・John Pryce,3回生以上,後期,月3,工学部専門科目,理工化学科,
科学英語（化学工学）［工化2・工化4］,前多 裕介・John Pryce,3回生以上,後期,月4,工学部専門科目,理工化学科,
