授業科目名,担当者名,配当学年,開講期,曜時限,群,学科,前身科目,年度
電気電子回路,久門 尚史,1回生以上,後期,月5,工学部専門科目,電気電子工学科,,2025
電磁気学１,松尾 哲司,2回生以上,後期,金2,工学部専門科目,電気電子工学科,,2025
電磁気学２,松尾 哲司・雨宮 尚之,3回生以上,前期,月2,工学部専門科目,電気電子工学科,,2025
電子回路,杉山 和彦,2回生以上,前期,金2,工学部専門科目,電気電子工学科,,2025
論理回路,橋本 昌宜,2回生以上,前期,金1,工学部専門科目,電気電子工学科,,2025
情報理論,佐藤 丈博,2回生以上,後期,火1,工学部専門科目,電気電子工学科,,2025
物性・デバイス基礎論,木本 恒暢・衛藤 雄二郎,2回生以上,前期,火1,工学部専門科目,電気電子工学科,,2025
計算機工学,佐藤 高史,2回生以上,後期,月4,工学部専門科目,電気電子工学科,,2025
電気回路,久門 尚史,3回生以上,前期,火3,工学部専門科目,電気電子工学科,,2025
自動制御工学,細江 陽平,3回生以上,前期,火1,工学部専門科目,電気電子工学科,,2025
ディジタル制御,萩原 朋道,3回生以上,後期,火4,工学部専門科目,電気電子工学科,,2025
放電工学,伊藤 陽介・弘津 研一,4回生以上,前期,火4,工学部専門科目,電気電子工学科,,2025
通信基礎論,原田 博司・水谷 圭一,3回生以上,前期,水1,工学部専門科目,電気電子工学科,,2025
情報伝送工学,水谷 圭一,3回生以上,後期,水5,工学部専門科目,電気電子工学科,,2025
通信ネットワーク,大木 英司・佐藤 丈博・庄林 宏和・海野 祐輔・小薮 正哉,3回生以上,後期,月2,工学部専門科目,電気電子工学科,,2025
マイクロ波工学,篠原 真毅・三谷 友彦,4回生以上,前期,火2,工学部専門科目,電気電子工学科,,2025
固体電子工学,浅野 卓・DE ZOYSA，Menaka,3回生以上,前期,水2,工学部専門科目,電気電子工学科,,2025
半導体工学,木本 恒暢,2回生以上,後期,火2,工学部専門科目,電気電子工学科,,2025
プラズマ工学,海老原 祐輔・伊藤 陽介,3回生以上,後期,木5,工学部専門科目,電気電子工学科,,2025
電気電子材料学,小林 圭,3回生以上,後期,水3,工学部専門科目,電気電子工学科,,2025
光工学１,船戸 充,3回生以上,後期,火2,工学部専門科目,電気電子工学科,,2025
光通信工学,大木 英司,4回生以上,前期,木1,工学部専門科目,電気電子工学科,,2025
光電子デバイス工学,浅野 卓,4回生以上,前期,月4,工学部専門科目,電気電子工学科,,2025
光工学２,船戸 充,4回生以上,前期,月2,工学部専門科目,電気電子工学科,,2025
電気法規,松尾 哲司・大田 貴之,3回生以上,前期集中,集中講義,工学部専門科目,電気電子工学科,,2025
電波法規,篠原 真毅・浅居 正充,4回生以上,後期集中,集中講義,工学部専門科目,電気電子工学科,,2025
ディジタル回路,新津 葵一・上野 嶺,3回生以上,前期,木2,工学部専門科目,電気電子工学科,,2025
ディジタル信号処理,横山 竜宏,3回生以上,後期,月4,工学部専門科目,電気電子工学科,,2025
電気電子プログラミング及演習,村脇 有吾・櫻田 健,2回生以上,前期,"水4,5",工学部専門科目,電気電子工学科,,2025
電気回路基礎論,久門 尚史,1回生以上,前期,火5,工学部専門科目,電気電子工学科,,2025
システム最適化,阪本 卓也,3回生以上,後期,火3,工学部専門科目,電気電子工学科,,2025
パワーエレクトロニクス,薄 良彦・持山 志宇・CASTELLAZZI，Alberto,3回生以上,前期,月1,工学部専門科目,電気電子工学科,,2025
電気電子工学概論,細江 陽平・川山 巌・小林 進二・衛藤 雄二郎,1回生以上,後期,"水4,5",工学部専門科目,電気電子工学科,,2025
電気電子計算工学及演習,雨宮 尚之・横山 竜宏・村脇 有吾・謝 怡凱,3回生以上,後期,"木1,2",工学部専門科目,電気電子工学科,,2025
電気電子工学のための量子論,竹内 繁樹,3回生以上,前期,水4,工学部専門科目,電気電子工学科,,2025
電気電子計測,岡本 亮,2回生以上,後期,金3,工学部専門科目,電気電子工学科,,2025
